Student ID,Name,Gender,Age,CGPA,Major,Interested Domain,Projects,,Python,SQL,Java,Future Career
1,John Smith,Male,21,3.5,Computer Science,Artificial Intelligence,Chatbot Development,,Strong,Strong,Weak,Machine Learning Researcher
2,Alice Johnson,Female,20,3.2,Computer Science,Data Science,Data Analytics,,Average,Strong,Weak,Data Scientist
3,Robert Davis,Male,22,3.8,Computer Science,Software Development,E-commerce Website,,Strong,Strong,Average,Software Engineer
4,Emily Wilson,Female,21,3.7,Computer Science,Web Development,Full-Stack Web App,,Weak,Strong,Strong,Web Developer
5,Michael Brown,Male,23,3.4,Computer Science,Cybersecurity,Network Security,,Average,Weak,Strong,Information Security Analyst
6,Laura Lee,Female,22,3.9,Computer Science,Machine Learning,Image Recognition,,Strong,Average,Weak,Machine Learning Engineer
7,William Johnson,Male,20,3.6,Computer Science,Database Management,SQL Query Optimization,,Average,Strong,Weak,Database Administrator
8,Sarah Miller,Female,21,3.7,Computer Science,Cloud Computing,AWS Deployment,,Weak,Strong,Average,Cloud Solutions Architect
9,James Wilson,Male,23,3.3,Computer Science,Mobile App Development,Android App,,Average,Weak,Strong,Mobile App Developer
10,Olivia Clark,Female,22,3.5,Computer Science,Computer Graphics,3D Rendering,,Weak,Average,Strong,Graphics Programmer
11,Andrew Hall,Male,21,3.8,Computer Science,Artificial Intelligence,Natural Language Processing,,Strong,Average,Weak,NLP Research Scientist
12,David Jones,Male,22,3.7,Computer Science,Web Development,Full-Stack Web App,,Strong,Strong,Average,Web Developer
13,Elizabeth Williams,Female,21,3.3,Computer Science,Mobile App Development,iOS App,,Average,Weak,Strong,Mobile App Developer
14,Charles Miller,Male,23,3.5,Computer Science,Computer Graphics,Game Development,,Weak,Average,Strong,Game Developer
15,Susan Davis,Female,22,3.8,Computer Science,Software Engineering,E-commerce Website,,Strong,Strong,Average,Software Engineer
16,John Brown,Male,20,3.6,Computer Science,Cybersecurity,Network Security,,Average,Weak,Strong,Information Security Analyst
17,Laura Lee,Female,21,3.9,Computer Science,Machine Learning,Image Recognition,,Strong,Average,Weak,Machine Learning Engineer
18,William Johnson,Male,23,3.6,Computer Science,Database Management,SQL Query Optimization,,Average,Strong,Weak,Database Administrator
19,Sarah Miller,Female,22,3.7,Computer Science,Cloud Computing,AWS Deployment,,Weak,Strong,Average,Cloud Solutions Architect
